dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,lat,lon,cross_street,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3
100100531,2010-01-16T00:00:00.000,2010-01-15T00:00:00.000,2030,01,Central,0127,1,210,ROBBERY,0344 0416 1218,47,M,A,102,SIDEWALK,IC,Invest Cont,210,1ST,34.0515,-118.2424,LOS ANGELES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100535,2010-01-17T00:00:00.000,2010-01-16T00:00:00.000,1735,01,Central,0185,2,946,OTHER MISCELLANEOUS CRIME,,41,M,W,103,ALLEY,IC,Invest Cont,946,300 E  OLYMPIC                      BL,34.0389,-118.2550,,,,999,
100100552,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1225,01,Central,0192,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1251,11,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,237,1300 S  FLOWER                       ST,34.0401,-118.2668,,,,,
100100553,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1100,01,Central,0166,1,210,ROBBERY,0344 0416,50,M,W,101,STREET,IC,Invest Cont,210,600    SAN JULIAN                   ST,34.0428,-118.2461,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100555,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,2000,01,Central,0132,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000,18,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,236,200 S  GRAND                        AV,34.0545,-118.2499,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100561,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,1820,01,Central,0119,1,210,ROBBERY,0346 0400,37,M,H,102,SIDEWALK,AA,Adult Arrest,210,800 N  ALAMEDA                      ST,34.0563,-118.2374,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100562,2010-01-28T00:00:00.000,2010-01-28T00:00:00.000,2345,01,Central,0152,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,28,M,O,108,PARKING LOT,IC,Invest Cont,626,500 S  GRAND                        AV,34.0502,-118.2540,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100564,2010-01-30T00:00:00.000,2010-01-29T00:00:00.000,1630,01,Central,0139,1,330,BURGLARY FROM VEHICLE,0344 1609,25,F,W,101,STREET,IC,Invest Cont,330,800    TRACTION                     AV,34.0454,-118.2360,,,,,
100100570,2010-01-31T00:00:00.000,2010-01-31T00:00:00.000,0130,01,Central,0139,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,31,M,H,210,RESTAURANT/FAST FOOD,IC,Invest Cont,440,600 E  2ND                          ST,34.0472,-118.2371,,,,,
100100571,2010-01-31T00:00:00.000,2010-01-31T00:00:00.000,1000,01,Central,0192,2,624,BATTERY - SIMPLE ASSAULT,0400,36,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,624,1400 S  HOPE                         ST,34.0382,-118.2665,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100572,2010-02-01T00:00:00.000,2010-01-31T00:00:00.000,1700,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,61,F,B,102,SIDEWALK,AO,Adult Other,230,600 S  SAN PEDRO                    ST,34.0423,-118.2452,,500,UNKNOWN WEAPON/OTHER WEAPON,,
100100573,2010-02-01T00:00:00.000,2010-01-31T00:00:00.000,2200,01,Central,0153,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416,50,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,626,200 W  6TH                          ST,34.0460,-118.2509,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100574,2010-02-01T00:00:00.000,2010-01-31T00:00:00.000,1930,01,Central,0145,2,624,BATTERY - SIMPLE ASSAULT,0416,40,M,W,207,BAR/COCKTAIL/NIGHTCLUB,AO,Adult Other,624,5TH,34.0461,-118.2476,LOS ANGELES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100575,2010-02-01T00:00:00.000,2010-01-31T00:00:00.000,1720,01,Central,0181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1402,36,M,W,710,OTHER PREMISE,AA,Adult Arrest,341,1100 S  FIGUEROA                     ST,34.0437,-118.2652,,,,,
100100578,2010-02-05T00:00:00.000,2010-02-03T00:00:00.000,1255,01,Central,0185,2,946,OTHER MISCELLANEOUS CRIME,,27,M,H,710,OTHER PREMISE,IC,Invest Cont,946,1200    MAPLE                        AV,34.0357,-118.2563,,,,999,
100100580,2010-02-02T00:00:00.000,2010-02-01T00:00:00.000,1355,01,Central,0158,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0521,48,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,930,6TH,34.0394,-118.2405,CERES,511,VERBAL THREAT,,
100100581,2010-02-05T00:00:00.000,2010-02-05T00:00:00.000,1425,01,Central,0147,2,624,BATTERY - SIMPLE ASSAULT,0400 0417,32,F,H,101,STREET,AA,Adult Arrest,624,SAN JULIAN                   ST,34.0446,-118.2450,5TH                          ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100586,2010-02-06T00:00:00.000,2010-02-06T00:00:00.000,0110,01,Central,0171,2,624,BATTERY - SIMPLE ASSAULT,0416,36,F,H,207,BAR/COCKTAIL/NIGHTCLUB,IC,Invest Cont,624,800 W  OLYMPIC                      BL,34.0450,-118.2640,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100587,2010-02-05T00:00:00.000,2010-02-05T00:00:00.000,2030,01,Central,0174,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,45,F,B,503,HOTEL,IC,Invest Cont,624,700 S  MAIN                         ST,34.0439,-118.2514,,500,UNKNOWN WEAPON/OTHER WEAPON,,
100100591,2010-02-10T00:00:00.000,2010-02-08T00:00:00.000,1625,01,Central,0182,1,330,BURGLARY FROM VEHICLE,0344 1609,22,F,W,108,PARKING LOT,IC,Invest Cont,330,1200 S  FLOWER                       ST,34.0415,-118.2654,,,,,
100100592,2010-02-08T00:00:00.000,2010-02-08T00:00:00.000,1800,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23,M,H,203,OTHER BUSINESS,AA,Adult Arrest,440,700 W  7TH                          ST,34.0480,-118.2577,,,,,
100100608,2010-02-11T00:00:00.000,2010-02-10T00:00:00.000,1900,01,Central,0152,1,220,ATTEMPTED ROBBERY,0416,27,M,H,210,RESTAURANT/FAST FOOD,AA,Adult Arrest,220,6TH                          ST,34.0502,-118.2574,FLOWER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100610,2010-02-11T00:00:00.000,2010-02-10T00:00:00.000,1800,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402,23,M,B,404,DEPARTMENT STORE,AA,Adult Arrest,442,700 W  7TH                          ST,34.0480,-118.2577,,,,998,
100100616,2010-02-11T00:00:00.000,2010-02-11T00:00:00.000,1515,01,Central,0192,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1212,0,M,H,102,SIDEWALK,AA,Adult Arrest,341,PICO,34.0389,-118.2643,GRAND,,,,
100100622,2010-02-13T00:00:00.000,2010-02-13T00:00:00.000,0055,01,Central,0171,2,624,BATTERY - SIMPLE ASSAULT,0416,24,M,O,101,STREET,IC,Invest Cont,624,800 W  OLYMPIC                      BL,34.0450,-118.2640,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100623,2010-02-13T00:00:00.000,2010-02-13T00:00:00.000,0150,01,Central,0119,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,22,F,W,210,RESTAURANT/FAST FOOD,AA,Adult Arrest,745,700 E  CESAR E CHAVEZ               AV,34.0559,-118.2296,,,,,
100100628,2010-02-15T00:00:00.000,2010-02-14T00:00:00.000,1500,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0408,40,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,230,500    STANFORD                     AV,34.0426,-118.2412,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100630,2010-02-15T00:00:00.000,2010-02-15T00:00:00.000,0100,01,Central,0123,1,210,ROBBERY,0400,22,F,O,101,STREET,IC,Invest Cont,210,1ST                          ST,34.0544,-118.2466,HILL                         ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100632,2010-02-16T00:00:00.000,2010-02-16T00:00:00.000,1540,01,Central,0138,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,22,F,H,102,SIDEWALK,IC,Invest Cont,626,500 E  4TH                          ST,34.0449,-118.2415,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100633,2010-02-17T00:00:00.000,2010-02-17T00:00:00.000,1725,01,Central,0153,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,35,M,H,406,OTHER STORE,IC,Invest Cont,745,500 S  BROADWAY,34.0481,-118.2507,,,,,
100100634,2010-02-20T00:00:00.000,2010-02-19T00:00:00.000,2040,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0400,44,M,O,102,SIDEWALK,AO,Adult Other,624,700 S  HOPE                         ST,34.0480,-118.2577,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100635,2010-02-20T00:00:00.000,2010-02-19T00:00:00.000,2030,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0400,50,M,O,101,STREET,AO,Adult Other,624,700 S  HOPE                         ST,34.0480,-118.2577,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100638,2010-02-20T00:00:00.000,2010-02-20T00:00:00.000,0100,01,Central,0164,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,M,O,101,STREET,AA,Adult Arrest,740,100 W  7TH                          ST,34.0439,-118.2514,,,,,
100100639,2010-02-20T00:00:00.000,2010-02-20T00:00:00.000,0230,01,Central,0164,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,600 S  MAIN                         ST,34.0453,-118.2499,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100642,2010-02-21T00:00:00.000,2010-02-21T00:00:00.000,0500,01,Central,0174,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0408,35,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,626,800 S  SPRING                       ST,34.0431,-118.2536,,,,,
100100650,2010-02-25T00:00:00.000,2010-02-25T00:00:00.000,0030,01,Central,0111,1,310,BURGLARY,0344 1251,20,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310,500 N  FIGUEROA                     ST,34.0617,-118.2469,,,,,
100100651,2010-02-26T00:00:00.000,2010-02-25T00:00:00.000,2330,01,Central,0176,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0429,23,F,H,108,PARKING LOT,AA,Adult Arrest,236,600 E  8TH                          ST,34.0394,-118.2496,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100654,2010-02-27T00:00:00.000,2010-02-27T00:00:00.000,1955,01,Central,0174,2,946,OTHER MISCELLANEOUS CRIME,,0,M,W,101,STREET,AA,Adult Arrest,946,W  7TH                          ST,34.0445,-118.2523,S  SPRING                       ST,,,,
100100655,2010-02-28T00:00:00.000,2010-02-28T00:00:00.000,0015,01,Central,0133,2,624,BATTERY - SIMPLE ASSAULT,0416,20,M,H,102,SIDEWALK,IC,Invest Cont,624,300 W  2ND                          ST,34.0524,-118.2467,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100657,2010-03-01T00:00:00.000,2010-02-28T00:00:00.000,2200,01,Central,0192,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,1300 S  GRAND                        AV,34.0389,-118.2643,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100658,2010-03-01T00:00:00.000,2010-03-01T00:00:00.000,0305,01,Central,0162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,40,M,W,203,OTHER BUSINESS,IC,Invest Cont,745,800 S  GRAND                        AV,34.0459,-118.2579,,,,,
100114820,2010-08-01T00:00:00.000,2010-08-01T00:00:00.000,0250,01,Central,0192,1,210,ROBBERY,0344 0355 0400,33,M,H,101,STREET,IC,Invest Cont,210,GRAND,34.0384,-118.2646,PICO,113,SIMULATED GUN,,
100100659,2010-02-28T00:00:00.000,2010-02-28T00:00:00.000,1825,01,Central,0138,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0200 0400,44,F,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",AA,Adult Arrest,626,300 S  LOS ANGELES                  ST,34.0485,-118.2447,,,,,
100100660,2010-03-01T00:00:00.000,2010-03-01T00:00:00.000,0100,01,Central,0148,1,648,ARSON,1501,0,M,O,101,STREET,IC,Invest Cont,648,5TH,34.0435,-118.2427,SAN PEDRO                    ST,,,,
100100661,2010-03-01T00:00:00.000,2010-03-01T00:00:00.000,0410,01,Central,0143,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,26,M,H,203,OTHER BUSINESS,IC,Invest Cont,745,400 S  HILL                         ST,34.0503,-118.2504,,,,,
100100672,2010-03-06T00:00:00.000,2010-03-06T00:00:00.000,0420,01,Central,0142,1,121,"RAPE, FORCIBLE",0413 0500 0536 0526,28,F,H,503,HOTEL,AO,Adult Other,121,400 S  FIGUEROA                     ST,34.0535,-118.2560,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100676,2010-03-07T00:00:00.000,2010-03-06T00:00:00.000,1930,01,Central,0105,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,44,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,745,1300 N  BROADWAY,34.0695,-118.2324,,,,,
100100690,2010-03-11T00:00:00.000,2010-03-11T00:00:00.000,2300,01,Central,0182,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,26,M,W,122,"VEHICLE, PASSENGER/TRUCK",AO,Adult Other,745,1100 S  GRAND                        AV,34.0416,-118.2620,,,,,
100100691,2010-03-11T00:00:00.000,2010-03-11T00:00:00.000,2110,01,Central,0165,2,624,BATTERY - SIMPLE ASSAULT,0416 1402,40,F,W,102,SIDEWALK,IC,Invest Cont,624,600 S  LOS ANGELES                  ST,34.0446,-118.2490,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",998,
100100693,2010-03-12T00:00:00.000,2010-03-11T00:00:00.000,0815,01,Central,0123,2,624,BATTERY - SIMPLE ASSAULT,0416 0417,52,F,H,802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,IC,Invest Cont,624,1ST,34.0530,-118.2444,SPRING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100694,2010-03-12T00:00:00.000,2010-03-12T00:00:00.000,0930,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0411 0417 1402,62,M,H,101,STREET,AO,Adult Other,230,600    WALL                         ST,34.0435,-118.2471,,500,UNKNOWN WEAPON/OTHER WEAPON,,
100100697,2010-03-12T00:00:00.000,2010-03-12T00:00:00.000,1520,01,Central,0151,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,0,M,X,101,STREET,AA,Adult Arrest,341,7TH,34.0499,-118.2614,FIGUEROA,,,998,
100100706,2010-03-13T00:00:00.000,2010-03-13T00:00:00.000,1615,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0400 2000,39,F,B,102,SIDEWALK,IC,Invest Cont,624,7TH                          ST,34.0452,-118.2534,BROADWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100708,2010-03-14T00:00:00.000,2010-03-14T00:00:00.000,0800,01,Central,0166,1,220,ATTEMPTED ROBBERY,0337 0400 0411 0432 0906,50,M,B,102,SIDEWALK,IC,Invest Cont,220,SAN PEDRO                    ST,34.0407,-118.2468,7TH                          ST,204,FOLDING KNIFE,,
100100711,2010-03-14T00:00:00.000,2010-03-12T00:00:00.000,1700,01,Central,0152,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432,54,M,O,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",IC,Invest Cont,930,600 W  5TH                          ST,34.0502,-118.2540,,511,VERBAL THREAT,,
100100713,2010-03-14T00:00:00.000,2010-03-14T00:00:00.000,2000,01,Central,0156,1,761,BRANDISH WEAPON,0334,76,M,H,710,OTHER PREMISE,IC,Invest Cont,761,500 S  SAN PEDRO                    ST,34.0442,-118.2439,,207,OTHER KNIFE,,
100100714,2010-03-15T00:00:00.000,2010-03-14T00:00:00.000,2050,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0416,16,F,H,406,OTHER STORE,IC,Invest Cont,624,600 W  9TH                          ST,34.0451,-118.2604,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100715,2010-03-15T00:00:00.000,2010-03-15T00:00:00.000,0001,01,Central,0176,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,21,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,626,700 S  SAN PEDRO                    ST,34.0407,-118.2468,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100716,2010-03-14T00:00:00.000,2010-03-14T00:00:00.000,2305,01,Central,0159,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,22,M,H,102,SIDEWALK,AA,Adult Arrest,745,6TH                          ST,34.0384,-118.2305,SANTA FE                     AV,,,,
100100719,2010-03-16T00:00:00.000,2010-03-16T00:00:00.000,1650,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0416,57,F,B,503,HOTEL,IC,Invest Cont,624,5TH                          ST,34.0446,-118.2450,SAN JULIAN,500,UNKNOWN WEAPON/OTHER WEAPON,,
100100723,2010-03-18T00:00:00.000,2010-03-18T00:00:00.000,0250,01,Central,0165,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1217,18,F,H,211,PAWN SHOP,IC,Invest Cont,745,300 E  7TH                          ST,34.0424,-118.2493,,,,,
100100724,2010-03-18T00:00:00.000,2010-03-18T00:00:00.000,0015,01,Central,0145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,34,M,W,210,RESTAURANT/FAST FOOD,AA,Adult Arrest,230,400 S  MAIN                         ST,34.0482,-118.2472,,512,MACE/PEPPER SPRAY,,
100100725,2010-03-18T00:00:00.000,2010-03-18T00:00:00.000,0015,01,Central,0145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,27,F,W,210,RESTAURANT/FAST FOOD,AA,Adult Arrest,230,400 S  MAIN                         ST,34.0482,-118.2472,,512,MACE/PEPPER SPRAY,,
100100726,2010-03-19T00:00:00.000,2010-03-19T00:00:00.000,1000,13,Newton,1307,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 0917 1804,32,F,H,203,OTHER BUSINESS,IC,Invest Cont,624,800 E  8TH                          ST,34.0371,-118.2475,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100728,2010-03-19T00:00:00.000,2010-03-19T00:00:00.000,1140,01,Central,0147,1,210,ROBBERY,0305 0344 0416,33,M,W,504,OTHER RESIDENCE,IC,Invest Cont,210,5TH,34.0446,-118.2450,WALL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100730,2010-03-23T00:00:00.000,2010-03-20T00:00:00.000,1215,01,Central,0111,2,647,THROWING OBJECT AT MOVING VEHICLE,,26,M,B,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,647,CESAR E CHAVEZ,34.0627,-118.2463,FIGUEROA                     ST,,,,
100100731,2010-03-21T00:00:00.000,2010-03-21T00:00:00.000,0320,01,Central,0111,1,330,BURGLARY FROM VEHICLE,0344 0906 1402 1609,48,M,O,101,STREET,AA,Adult Arrest,330,BARTLETT,34.0635,-118.2458,FIGUEROA,,,998,
100100733,2010-03-21T00:00:00.000,2010-03-21T00:00:00.000,1000,11,Northeast,1171,2,946,OTHER MISCELLANEOUS CRIME,1402,0,M,W,102,SIDEWALK,IC,Invest Cont,946,WAVERLY,34.0917,-118.2741,SUNSET                       BL,,,998,
100100734,2010-03-21T00:00:00.000,2010-03-21T00:00:00.000,1315,01,Central,0163,2,624,BATTERY - SIMPLE ASSAULT,0416 0419 1202,65,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,624,700 S  BROADWAY,34.0452,-118.2534,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100736,2010-03-22T00:00:00.000,2010-03-22T00:00:00.000,1330,01,Central,0162,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344 0601 1402 1606,23,M,B,404,DEPARTMENT STORE,IC,Invest Cont,343,700 W  7TH                          ST,34.0480,-118.2577,,,,998,
100100738,2010-03-22T00:00:00.000,2010-03-19T00:00:00.000,1730,01,Central,0195,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0552,5,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,627,1800 S  MAIN                         ST,34.0317,-118.2641,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100740,2010-03-25T00:00:00.000,2010-03-22T00:00:00.000,1915,01,Central,0142,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,49,M,W,101,STREET,IC,Invest Cont,230,4TH                          ST,34.0516,-118.2526,GRAND                        AV,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100741,2010-03-24T00:00:00.000,2010-03-22T00:00:00.000,2030,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0433,23,M,B,203,OTHER BUSINESS,AA,Adult Arrest,440,700 W  7TH                          ST,34.0480,-118.2577,,,,,
