alias,latitude,longitude,display_phone,id,address,city,country,state,zip_code,name,phone,price,rating,review_count,url,SOURCE,DATE_SCRAPED
supreme-og-los-angeles,34.052897,-118.3098959,(213) 808-9306,ozehaU2e8NsUWGKW-Je06g,984 S Manhattan Pl,Los Angeles,US,CA,90019,Supreme OG,+12138089306,,4.0,23,https://www.yelp.com/biz/supreme-og-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
goddess-delivers-los-angeles,33.97908,-118.25009,(855) 426-5246,WbDO8dlF-35TgY5TAhil_g,,Los Angeles,US,CA,90001,Goddess Delivers,+18554265246,,4.5,22,https://www.yelp.com/biz/goddess-delivers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
rose-collective-venice,33.9979274,-118.474851,(310) 392-3890,19OKybHIpT9UatfrOMfq_g,411 Rose Ave,Venice,US,CA,90291,Rose Collective,+13103923890,,4.0,153,https://www.yelp.com/biz/rose-collective-venice?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
exclusive-caregivers-of-california-los-angeles-2,33.983,-118.31457,(323) 920-4008,FI_uVgsfekncS3jRYkdGFw,6200 S Wilton Pl,Los Angeles,US,CA,90047,Exclusive Caregivers Of California,+13239204008,,5.0,3,https://www.yelp.com/biz/exclusive-caregivers-of-california-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
california-caregivers-alliance-los-angeles-3,34.08235,-118.272037,(213) 353-0100,6no8euaaUgKGE-HwCaYiYg,2815 W Sunset Blvd,Los Angeles,US,CA,90026,California Caregivers Alliance,+12133530100,,4.5,200,https://www.yelp.com/biz/california-caregivers-alliance-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
ladera-holistic-care-los-angeles,33.98869,-118.33738,(310) 754-9759,ecgr_zy36LwOT9QZxWZLOg,3662 W Slauson Blvd,Los Angeles,US,CA,90043,Ladera Holistic Care,+13107549759,,4.0,5,https://www.yelp.com/biz/ladera-holistic-care-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
the-high-note-east-la-los-angeles,34.07525,-118.16657,(323) 441-2157,Xj41v7HnLY-5I-2JqosnqA,5359 Valley Blvd,Los Angeles,US,CA,90032,The High Note - East LA,+13234412157,$$,4.5,81,https://www.yelp.com/biz/the-high-note-east-la-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
buds-and-roses-studio-city,34.146045,-118.417692,(818) 907-8852,whSTaTuy4eWlRo5cPiIOeA,13047 Ventura Blvd,Studio City,US,CA,91604,Buds & Roses,+18189078852,,4.0,171,https://www.yelp.com/biz/buds-and-roses-studio-city?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
herbarium-west-hollywood,34.08853,-118.3446,(323) 447-2037,wLViN-vumshh6CEchAlsEQ,979 N La Brea Ave,West Hollywood,US,CA,90038,Herbarium,+13234472037,$$,4.5,158,https://www.yelp.com/biz/herbarium-west-hollywood?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
herb-los-angeles-3,34.0434989929199,-118.250205993652,(844) 437-2213,_PVsgnMe_ut8BcQSVhAVgw,,Los Angeles,US,CA,90014,HERB,+18444372213,$$,4.5,63,https://www.yelp.com/biz/herb-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
