,alias,LATITUDE,LONGITUDE,display_phone,id,ADDRESS,CITY,COUNTRY,STATE,ZIPCODE,BUSINESS_NAME,phone,rating,review_count,url,price,PROPERTYTYPE,SOURCE,DATE_SCRAPED
10,chucos-justice-center-inglewood,33.9759298391701,-118.335641626783,(323) 235-4243,h8QvCkSoznsvn3nzDav7QA,1137 Redondo Blvd,Inglewood,US,CA,90302,Chuco's Justice Center,+13232354243,4.5,4,https://www.yelp.com/biz/chucos-justice-center-inglewood?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
11,ladera-park-los-angeles,33.986061,-118.359573,(323) 298-3629,B2APXWu4LhnYmazzK6VSzw,6027 Ladera Park Ave,Los Angeles,US,CA,90040,Ladera Park,+13232983629,4.0,17,https://www.yelp.com/biz/ladera-park-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
12,japanese-american-cultural-and-community-center-los-angeles,34.04778,-118.2418045,(213) 628-2725,6OiKH_2OT2r8P7M8gfdPPw,244 S San Pedro St,Los Angeles,US,CA,90012,Japanese American Cultural & Community Center,+12136282725,4.5,27,https://www.yelp.com/biz/japanese-american-cultural-and-community-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
13,richstone-family-center-hawthorne,33.907253833,-118.34143,(310) 970-1921,7imbG5V-A1QRjEviese22w,13634 Cordary Ave,Hawthorne,US,CA,90250,Richstone Family Center,+13109701921,5.0,5,https://www.yelp.com/biz/richstone-family-center-hawthorne?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
14,barbara-j-riley-community-and-senior-center-downey,33.9284279903587,-118.154278993607,(562) 904-7223,0QmJEmTU_LCxAYRQAq9kaQ,7810 Quill Dr,Downey,US,CA,90242,Barbara J Riley Community and Senior Center,+15629047223,4.0,10,https://www.yelp.com/biz/barbara-j-riley-community-and-senior-center-downey?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
15,bell-community-center-bell,33.9800037,-118.1886405,(323) 773-1596,fWosThv6jD-OgPC7isJUew,6250 Pine Ave,Bell,US,CA,90201,Bell Community Center,+13237731596,5.0,1,https://www.yelp.com/biz/bell-community-center-bell?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
16,stoneview-nature-center-culver-city,34.0140202257974,-118.376888630411,NA,o2Av2eJqhjvxBLUGTJ9Hqw,5950 Stoneview Dr,Culver City,US,CA,90232,Stoneview Nature Center,NA,5.0,6,https://www.yelp.com/biz/stoneview-nature-center-culver-city?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
17,darby-park-inglewood,33.954506,-118.329445,NA,av_kZa3ZzC09LSZi6-vvZQ,3400 W Arbor Vitae St,Inglewood,US,CA,90305,Darby Park,NA,3.5,8,https://www.yelp.com/biz/darby-park-inglewood?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
18,pacific-park-and-community-center-glendale,34.1398239,-118.2645416,(818) 548-4098,EBpsJCS_J11seTtjl1iSdw,501 S Pacific Ave,Glendale,US,CA,91204,Pacific Park and Community Center,+18185484098,4.5,6,https://www.yelp.com/biz/pacific-park-and-community-center-glendale?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
19,community-services-unlimited-los-angeles-2,33.97929,-118.29211,(213) 746-1216,IDcE6KnGoOEkxaQKhvwMQA,6569 S Vermont Ave,Los Angeles,US,CA,90044,Community Services Unlimited,+12137461216,5.0,6,https://www.yelp.com/biz/community-services-unlimited-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
0,cashback-loans-los-angeles,34.11486,-118.18138,(323) 430-9042,uxH6rFyUEqCb1yJA7qWgjw,107 N Avenue 64,Los Angeles,US,CA,90042,Cashback Loans,+13234309042,5.0,31,https://www.yelp.com/biz/cashback-loans-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
1,fast-auto-and-payday-loans-los-angeles-8,33.97449,-118.25066,(323) 582-2147,lUJJiFJZgv7NC3J5FLnAXA,1332 E Florence Ave,Los Angeles,US,CA,90001,Fast Auto And Payday Loans,+13235822147,5.0,4,https://www.yelp.com/biz/fast-auto-and-payday-loans-los-angeles-8?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
2,la-cienega-check-cashing-los-angeles-2,34.0733769,-118.3765854,(818) 632-8382,MqejnLXpPTTIs1OH4YNjdg,8506 W 3rd St,Los Angeles,US,CA,90048,La Cienega Check Cashing,+18186328382,4.5,66,https://www.yelp.com/biz/la-cienega-check-cashing-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
3,continental-currency-services-los-angeles-65,34.021153,-118.3726737,(310) 837-4421,PPUSt2OhZ-_4vC3S3rBkYw,5804 Rodeo Road,Los Angeles,US,CA,90016,Continental Currency Services,+13108374421,4.0,6,https://www.yelp.com/biz/continental-currency-services-los-angeles-65?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
4,rpm-lenders-los-angeles-14,34.0356,-118.27013,(213) 741-1111,0BoLWRVL2b6nxElti3IvPw,1721 S Flower St,Los Angeles,US,CA,90015,Rpm Lenders,+12137411111,5.0,2,https://www.yelp.com/biz/rpm-lenders-los-angeles-14?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
5,cash-depot-hawthorne,33.9160843938589,-118.352787941694,(310) 676-9901,0xiwYvQkq6MIqSy2hkerWg,12829 Hawthorne Blvd,Hawthorne,US,CA,90250,Cash Depot,+13106769901,4.0,4,https://www.yelp.com/biz/cash-depot-hawthorne?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
6,moneytree-long-beach,33.8613374311371,-118.166598049153,(562) 423-3224,_OykwcQLJr-MYHiVmIFrNw,2185 E South St,Long Beach,US,CA,90805,Moneytree,+15624233224,4.5,31,https://www.yelp.com/biz/moneytree-long-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
7,pacific-cash-advance-carson,33.8675903,-118.2658851,(310) 715-1112,7wZVoyLQFLKS7GFM6RPSsA,17952 S Avalon,Carson,US,CA,90745,Pacific Cash Advance,+13107151112,5.0,1,https://www.yelp.com/biz/pacific-cash-advance-carson?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
8,continental-currency-services-ccs-culver-city,34.01638,-118.40558,(310) 204-2115,kLt4iDUEfMWO5pgS6JFiXQ,10716 W Washington,Culver City,US,CA,90232,Continental Currency Services - CCS,+13102042115,3.5,17,https://www.yelp.com/biz/continental-currency-services-ccs-culver-city?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
9,check-into-cash-los-angeles-4,34.01672,-118.3356,(323) 294-4532,PGcL1uvmei40m434F0a79Q,3829 Crenshaw Blvd,Los Angeles,US,CA,90008,Check Into Cash,+13232944532,1.0,3,https://www.yelp.com/biz/check-into-cash-los-angeles-4?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
10,b-and-b-check-cashing-huntington-park-2,33.96208,-118.19534,(323) 587-4362,wtxaqpvLGZNF12SWeFz-pg,4137 Santa Ana St,Huntington Park,US,CA,90255,B & B Check Cashing,+13235874362,5.0,1,https://www.yelp.com/biz/b-and-b-check-cashing-huntington-park-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
11,fast-auto-and-payday-loans-inglewood-3,33.9528449,-118.3600133,(424) 732-2365,nym6h_qZQmrEyo-CNN3b-Q,313 W Arbor Vitae St,Inglewood,US,CA,90301,Fast Auto and Payday Loans,+14247322365,3.0,2,https://www.yelp.com/biz/fast-auto-and-payday-loans-inglewood-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
12,a-advance-payroll-gardena,33.89208984375,-118.295272827148,(310) 380-6700,yih5sK0jUP8LKIXZELiTTg,1124 W Redondo Beach Blvd,Gardena,US,CA,90247,A Advance Payroll,+13103806700,2.0,4,https://www.yelp.com/biz/a-advance-payroll-gardena?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
13,ace-cash-express-los-angeles-33,33.974345,-118.283392,(323) 789-1210,AldNQ0ieQznJohgj2_wUsQ,7205 S Figueroa St,Los Angeles,US,CA,90003,ACE Cash Express,+13237891210,2.0,1,https://www.yelp.com/biz/ace-cash-express-los-angeles-33?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
14,continental-currency-services-ccs-south-gate,33.9645758,-118.2250751,(323) 587-7545,7xp7v9pkKdpSk6OPP_T1uA,8116 Long Beach Blvd,South Gate,US,CA,90280,Continental Currency Services - CCS,+13235877545,3.0,2,https://www.yelp.com/biz/continental-currency-services-ccs-south-gate?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
15,rpm-lenders-los-angeles-13,34.0521668285293,-118.344316156215,(323) 634-9222,sp_0mAzqPzxH0EL4yRNwxg,1245 S La Brea Ave,Los Angeles,US,CA,90019,RPM Lenders,+13236349222,5.0,2,https://www.yelp.com/biz/rpm-lenders-los-angeles-13?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
16,westwood-check-cashing-payday-advance-and-auto-title-loans-los-angeles,34.04434,-118.43168,(310) 474-3555,q49QNFwrpDpPTTwqRhVGzQ,2180 Westwood Blvd,Los Angeles,US,CA,90025,Westwood Check Cashing-Payday Advance & Auto Title Loans,+13104743555,4.0,14,https://www.yelp.com/biz/westwood-check-cashing-payday-advance-and-auto-title-loans-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
17,lcs-payday-advance-loans-lawndale,33.8769634,-118.3522551,(310) 370-1501,doOosnkGcvAP2wAU88pFxg,16916 Hawthorne Blvd,Lawndale,US,CA,90260,Lcs Payday Advance Loans,+13103701501,3.0,13,https://www.yelp.com/biz/lcs-payday-advance-loans-lawndale?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
18,fast-auto-and-payday-loans-los-angeles-16,34.016664,-118.137293,(323) 248-9935,dkDttHoPygy1p9vIRPmhHQ,6201 Whittier Blvd,Los Angeles,US,CA,90022,Fast Auto and Payday Loans,+13232489935,5.0,2,https://www.yelp.com/biz/fast-auto-and-payday-loans-los-angeles-16?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
19,fast-auto-loans-lynwood-2,33.9314082,-118.2124378,(310) 933-4990,5wP61R5KuJft59yNHdprLg,11123 Long Beach Blvd,Lynwood,US,CA,90262,Fast Auto Loans,+13109334990,4.5,7,https://www.yelp.com/biz/fast-auto-loans-lynwood-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,01-31-2020
0,la-cannabis-co-inglewood-los-angeles,33.98545,-118.31199,(323) 778-8540,0zyJAQK15vOidZlc8ObknA,5993 S Saint Andrews Pl,Los Angeles,US,CA,90047,LA Cannabis Co - Inglewood,+13237788540,NA,4.5,14,https://www.yelp.com/biz/la-cannabis-co-inglewood-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
1,king-kush-collective-los-angeles-3,33.954827,-118.308771,(323) 208-9397,GkNLOCSaJkaElJp9WKzZ5g,8950 S Western Ave,Los Angeles,US,CA,90047,King Kush Collective,+13232089397,NA,4.0,18,https://www.yelp.com/biz/king-kush-collective-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
2,aaa-wellness-center-los-angeles,33.9577229,-118.2780851,(562) 299-8004,sX7Y_BQiOeHbYAQ0agOwWA,8752 S Broadway,Los Angeles,US,CA,90003,AAA Wellness Center,+15622998004,NA,5.0,1,https://www.yelp.com/biz/aaa-wellness-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
3,medmen-los-angeles-lax-airport-los-angeles-4,33.95765,-118.39575,(424) 290-8030,wc5I4zMTqo9vaKM49mwixQ,8740 S Sepulveda Blvd,Los Angeles,US,CA,90045,MedMen Los Angeles - LAX Airport,+14242908030,$$,4.0,182,https://www.yelp.com/biz/medmen-los-angeles-lax-airport-los-angeles-4?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
4,ladera-holistic-care-los-angeles,33.98869,-118.33738,(310) 754-9759,ecgr_zy36LwOT9QZxWZLOg,3662 W Slauson Blvd,Los Angeles,US,CA,90043,Ladera Holistic Care,+13107549759,NA,4.5,7,https://www.yelp.com/biz/ladera-holistic-care-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
5,stone-age-farmacy-gardena-2,33.9028818,-118.2857668,(310) 366-5906,BJYocxutMfYHgcfflvhDog,621 W Rosecrans Ave,Gardena,US,CA,90248,Stone Age Farmacy,+13103665906,NA,4.0,113,https://www.yelp.com/biz/stone-age-farmacy-gardena-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
6,new-age-care-center-los-angeles,34.01078,-118.2796,(323) 231-2795,4KbtXDM44XdBWQnR6IX9dw,350 W Martin Luther King Jr Blvd,Los Angeles,US,CA,90037,New Age Care Center,+13232312795,NA,4.0,19,https://www.yelp.com/biz/new-age-care-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
7,skooters-los-angeles,33.94058,-118.30937,(562) 646-2510,ihlc45kAUR9h7G-CtisSIQ,10511 S Western Ave,Los Angeles,US,CA,90047,Skooters,+15626462510,NA,4.0,5,https://www.yelp.com/biz/skooters-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
8,mecca-mid-city-los-angeles,34.0344467,-118.3695938,(323) 879-9731,MBdtzD8eCUIgOdwwF89xdA,5738 W Washington Blvd,Los Angeles,US,CA,90016,Mecca Mid City,+13238799731,$,4.0,130,https://www.yelp.com/biz/mecca-mid-city-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
9,the-high-note-culver-city-los-angeles-2,34.02582,-118.3607,(213) 465-1646,IyyaTRg3o4fTkyqjHZ709g,5277 W Jefferson Blvd,Los Angeles,US,CA,90016,The High Note - Culver City,+12134651646,$$,4.5,17,https://www.yelp.com/biz/the-high-note-culver-city-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
10,california-caregivers-alliance-los-angeles-3,34.08235,-118.272037,(213) 353-0100,6no8euaaUgKGE-HwCaYiYg,2815 W Sunset Blvd,Los Angeles,US,CA,90026,California Caregivers Alliance,+12133530100,NA,4.5,228,https://www.yelp.com/biz/california-caregivers-alliance-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
11,medmen-los-angeles-dtla-los-angeles,34.0446,-118.25444,(213) 908-2244,-4K0Nzu_5w8E-uDv0aYIPQ,735 S Broadway,Los Angeles,US,CA,90014,MedMen Los Angeles - DTLA,+12139082244,$$,4.5,301,https://www.yelp.com/biz/medmen-los-angeles-dtla-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
12,heaven-on-earth-healing-los-angeles,33.972517,-118.308683,(323) 920-4768,zluFyOHOcMhPTLSq3V3U2A,7404 S Western Ave,Los Angeles,US,CA,90047,Heaven On Earth Healing,+13239204768,NA,5.0,2,https://www.yelp.com/biz/heaven-on-earth-healing-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
13,herb-los-angeles-3,34.0434989929199,-118.250205993652,(844) 437-2213,_PVsgnMe_ut8BcQSVhAVgw,NA,Los Angeles,US,CA,90014,HERB,+18444372213,$$,4.5,69,https://www.yelp.com/biz/herb-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,dispensary,yelp,01-31-2020
